FactTableCode,FactTableName,FieldCode,FieldName,ValueSetCode,ValueSetName,ValueCode,ValueName,GroupName
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,721200,Earthmoving Plant Operators nfd,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,721211,Earthmoving Plant Operator (General),construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,721212,Backhoe Operator,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,721213,Bulldozer Operator,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,721214,Excavator Operator,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,721215,Grader Operator,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,721216,Loader Operator,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821100,Building and Plumbing Labourers nfd,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821111,Builder's Labourer,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821112,"Drainage, Sewerage and Stormwater Labourer",construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821113,Earthmoving Labourer,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821114,Plumber's Assistant,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821211,Concreter,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821311,Fencer,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821400,Insulation and Home Improvement Installers nfd,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821411,Building Insulation Installer,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821412,Home Improvement Installer,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821511,Paving and Surfacing Labourer,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821714,Structural Steel Erector,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821713,Steel Fixer,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821712,Scaffolder,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821711,Construction Rigger,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821700,Structural Steel Construction Workers nfd,construction related occupations
Person Records,Person Records,2416234,OCCP Occupation,2416234_BASE6,2416234_BASE6,821911,Crane Chaser,construction related occupations
