lga,top1,top2,top5,top10
Adelaide,0.755550742149353,0.7355680465698242,0.5490554571151733,0.4607239067554474
Adelaide Hills,0.7906903028488159,0.7054344415664673,0.6595563888549805,0.5863649249076843
Albany,0.8506041765213013,0.818842887878418,0.7716083526611328,0.7513235807418823
Albury,0.9055237174034119,0.852043092250824,0.8006967902183533,0.7742708921432495
Alexandrina,0.834617555141449,0.8149603605270386,0.7803006768226624,0.7299643754959106
Alice Springs,0.9407413005828857,0.9356627464294434,0.8296651840209961,0.5620407462120056
Alpine,0.9314339756965637,0.8468252420425415,0.8369238376617432,0.790077805519104
Ararat,0.9467000961303711,0.9304850697517395,0.9169512391090393,0.8954904675483704
Armadale,0.8734105825424194,0.8242999315261841,0.7334274053573608,0.6986587047576904
Armidale Regional,0.7040203213691711,0.6834923028945923,0.6662778258323669,0.6583117246627808
Augusta Margaret River,0.6518107056617737,0.6479640603065491,0.5208939909934998,0.4233422577381134
Ballarat,0.9377080202102661,0.9262633323669434,0.898492693901062,0.831156849861145
Ballina,0.8885858654975891,0.8376456499099731,0.7827019691467285,0.7421962022781372
Banana,0.9042084813117981,0.8998798131942749,0.8403635621070862,0.7990630865097046
Banyule,0.8747063875198364,0.8457603454589844,0.7659252882003784,0.7092512845993042
Barossa,0.7064772844314575,0.6479640603065491,0.5988835096359253,0.5282598733901978
Bass Coast,0.8638926148414612,0.8584514856338501,0.834617555141449,0.724597692489624
Bassendean,0.7658761143684387,0.700066328048706,0.6700284481048584,0.6096686720848083
Bathurst Regional,0.8930723667144775,0.8711550235748291,0.8372793197631836,0.8147588968276978
Baw Baw,0.8665778636932373,0.8170279860496521,0.7445748448371887,0.7225404977798462
Bayside (NSW),0.769339919090271,0.6696617603302002,0.6256598234176636,0.5831775665283203
Bayside (Vic.),0.8943520188331604,0.8589257001876831,0.6680489778518677,0.6086088418960571
Bayswater,0.8389559388160706,0.7811686396598816,0.6893457770347595,0.6163155436515808
Bega Valley,0.7748035192489624,0.7539438009262085,0.7388486266136169,0.706786572933197
Bellingen,0.8536521792411804,0.8369238376617432,0.8152713179588318,0.7749589681625366
Belmont,0.8681957721710205,0.8623800873756409,0.6706265211105347,0.48285481333732605
Benalla,0.9435255527496338,0.9430640935897827,0.9228646755218506,0.8825845122337341
Berri Barmera,0.59489506483078,0.594177782535553,0.5751984119415283,0.49178019165992737
Blacktown,0.7367132902145386,0.7272025942802429,0.5897637605667114,0.48551368713378906
Blue Mountains,0.7379159927368164,0.7076408267021179,0.6595563888549805,0.6162096261978149
Boroondara,0.859862208366394,0.8543553352355957,0.8359755277633667,0.7498745918273926
Brighton,0.6551647186279297,0.6415308117866516,0.582604706287384,0.5585082769393921
Brimbank,0.8491362929344177,0.8461277484893799,0.5780625939369202,0.312155544757843
Brisbane,0.801335334777832,0.7024729251861572,0.672545313835144,0.6236716508865356
