lga,vector
Armadale,"[0.0028026667423546314, 0.006167990155518055, 0.011752091348171234, 0.0, 0.0, 0.0, 0.029003353789448738, 0.06366512179374695, 0.0, 0.004968363791704178, 0.002770818304270506, 0.0016348889330402017, 0.005584101192653179, 0.004713575821369886, 0.07768907397985458, 0.0, 0.0, 0.03898254781961441, 0.037464436143636703, 0.0864049419760704, 0.0020489192102104425, 0.0004777272988576442, 0.0, 0.0, 0.003291010158136487, 0.12938977777957916, 0.04090407118201256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025266464799642563, 0.0, 0.0, 0.009873030707240105, 0.006911121308803558, 0.0, 0.0, 0.14974096417427063, 0.050830185413360596, 0.0, 0.0, 0.0, 0.0, 0.0532294362783432, 0.0, 0.0, 0.0, 0.17717312276363373]"
Armidale Regional,"[0.04232558235526085, 0.1880730837583542, 0.06049833819270134, 0.009601328521966934, 0.0552491694688797, 0.009833887219429016, 0.015548172406852245, 0.0, 0.016777409240603447, 0.061362124979496, 0.011328903958201408, 0.0, 0.03445182740688324, 0.03162790834903717, 0.0, 0.0, 0.0, 0.0, 0.15362125635147095, 0.0, 0.013687707483768463, 0.0022259135730564594, 0.0, 0.0, 0.0, 0.023920265957713127, 0.0, 0.061196014285087585, 0.010332225821912289, 0.013056478463113308, 0.0516943521797657, 0.0, 0.0, 0.014352159574627876, 0.0, 0.0, 0.11923588067293167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Ashburton,"[0.0, 0.10981877148151398, 0.0, 0.0, 0.0, 0.2092236876487732, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004868812393397093, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.557614266872406, 0.02163916639983654, 0.0, 0.005950770806521177, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01068433839827776, 0.0, 0.0, 0.0, 0.029348120093345642, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05085204169154167]"
Augusta Margaret River,"[0.03783058002591133, 0.017455777153372765, 0.08284196257591248, 0.03858952596783638, 0.0, 0.0, 0.07396812736988068, 0.029073501005768776, 0.0, 0.03368556126952171, 0.0, 0.0007005662773735821, 0.035261835902929306, 0.04296806454658508, 0.0, 0.0, 0.0, 0.0, 0.01681359112262726, 0.0, 0.0, 0.0025103625375777483, 0.01693035289645195, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10403409600257874, 0.025278767570853233, 0.0, 0.26020199060440063, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18185533583164215]"
Aurukun,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Ballarat,"[0.042105719447135925, 0.01663275435566902, 0.019879648461937904, 0.0016104592941701412, 0.0035499371588230133, 0.0005108446348458529, 0.004779427777975798, 0.0, 0.016987748444080353, 0.02042512595653534, 0.0, 0.0002510931226424873, 0.0671890527009964, 0.013472444377839565, 0.006034893449395895, 0.06978657096624374, 0.0, 0.0, 0.010779687203466892, 0.0, 0.0, 0.0011775401653721929, 0.008000345900654793, 0.0, 0.0, 0.014719251543283463, 0.0, 0.3256591260433197, 0.0077752284705638885, 0.0, 0.1690722554922104, 0.0027187324594706297, 0.0, 0.0, 0.0030477510299533606, 0.0, 0.00446772575378418, 0.020390493795275688, 0.0, 0.0, 0.0073769427835941315, 0.0, 0.0, 0.0, 0.005056495778262615, 0.0, 0.0, 0.0, 0.0, 0.13654270768165588]"
Ballina,"[0.09284041821956635, 0.0022984554525464773, 0.16763688623905182, 0.029020685702562332, 0.03338130563497543, 0.0, 0.0, 0.0, 0.014349236153066158, 0.01035379059612751, 0.0, 0.00027925160247832537, 0.027903679758310318, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021266084164381027, 0.0, 0.06104869768023491, 0.0031147294212132692, 0.10650226473808289, 0.0, 0.01679805852472782, 0.007797563914209604, 0.010160461999475956, 0.1063089370727539, 0.0, 0.006895366590470076, 0.15616609156131744, 0.0, 0.0, 0.0019117994233965874, 0.0, 0.08923162519931793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03473460301756859, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Balonne,"[0.0, 0.19441238045692444, 0.08404525369405746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07596398144960403, 0.09074116498231888, 0.0, 0.0, 0.0, 0.0, 0.21865619719028473, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33618101477622986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Balranald,"[0.0, 0.0, 0.2894273102283478, 0.0, 0.0, 0.17180617153644562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17841409146785736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36035242676734924, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Banana,"[0.0, 0.2632341682910919, 0.01794464699923992, 0.0, 0.0, 0.06632617861032486, 0.0, 0.0, 0.0351991169154644, 0.015252950601279736, 0.0, 0.0028297328390181065, 0.0, 0.08585824072360992, 0.0, 0.0, 0.0, 0.0, 0.04299813508987427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00938643142580986, 0.0, 0.18344950675964355, 0.1357581615447998, 0.02346607856452465, 0.017530540004372597, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027331078425049782, 0.0, 0.07343501597642899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Banyule,"[0.021233120933175087, 0.0, 0.0, 0.004886548034846783, 0.003603532211855054, 0.0, 0.040454600006341934, 0.11987486481666565, 0.031354691833257675, 0.2406684309244156, 0.09314537048339844, 0.0, 0.010818516835570335, 0.02448025904595852, 0.031029976904392242, 0.0, 0.03284362331032753, 0.0, 0.014295331202447414, 0.0, 0.0, 0.0002930344780907035, 0.034395914524793625, 0.03779352828860283, 0.0763077661395073, 0.0, 0.006185403559356928, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03976557403802872, 0.037437137216329575, 0.0035639330744743347, 0.02676117606461048, 0.0, 0.0, 0.0028432265389710665, 0.0, 0.009868134744465351, 0.0, 0.05609630420804024, 0.0, 0.0, 0.0]"
Barcaldine,"[0.0, 0.46870604157447815, 0.41736990213394165, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1139240488409996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Barcoo,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Barkly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05221518874168396, 0.0, 0.0, 0.007120253052562475, 0.0, 0.0, 0.003955696243792772, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006329114083200693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8908227682113647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03955696150660515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Barossa,"[0.02916417270898819, 0.07931378483772278, 0.0, 0.0, 0.02984241023659706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04001595824956894, 0.0, 0.0, 0.02952324040234089, 0.0, 0.0, 0.0, 0.0, 0.03798124939203262, 0.0012367843883112073, 0.0, 0.0, 0.0, 0.0, 0.11813285201787949, 0.013165769167244434, 0.015200478956103325, 0.0, 0.21125075221061707, 0.03570716083049774, 0.0, 0.0, 0.3020147681236267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05745062977075577]"
Barunga West,"[0.06836581975221634, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9316341876983643, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Bass Coast,"[0.2450711727142334, 0.07180444896221161, 0.2383539080619812, 0.00894827488809824, 0.0, 0.0, 0.019739555194973946, 0.0, 0.0, 0.01896355301141739, 0.0, 0.0, 0.02075805701315403, 0.0, 0.009360525757074356, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02943958155810833, 0.0, 0.008536023087799549, 0.0, 0.0, 0.0, 0.010209278203547001, 0.03475034609436989, 0.0, 0.0, 0.040643110871315, 0.10718529671430588, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13623687624931335]"
Bassendean,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08359502255916595, 0.0, 0.0, 0.2926139831542969, 0.10796382278203964, 0.0, 0.0, 0.2650420665740967, 0.03975631296634674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02436879836022854, 0.0, 0.0, 0.03422936797142029, 0.025185277685523033, 0.0, 0.0, 0.0, 0.0, 0.02851400524377823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09873131662607193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Bathurst Regional,"[0.01334843598306179, 0.14607764780521393, 0.004486496094614267, 0.00775142153725028, 0.013925906270742416, 0.0, 0.03458155691623688, 0.0, 0.0295398011803627, 0.0, 0.0, 0.0041533405892550945, 0.10307835787534714, 0.01779051125049591, 0.018856609240174294, 0.11167377233505249, 0.0, 0.0, 0.08577647805213928, 0.0, 0.0, 0.0018878820119425654, 0.0, 0.0, 0.0, 0.042288556694984436, 0.0, 0.1604921817779541, 0.008550995029509068, 0.00775142153725028, 0.14685501158237457, 0.0, 0.016924306750297546, 0.01628020592033863, 0.0, 0.007929104380309582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Baw Baw,"[0.052114516496658325, 0.045780062675476074, 0.05313993617892265, 0.0, 0.03519507870078087, 0.0, 0.026611315086483955, 0.0, 0.008286058902740479, 0.0, 0.0, 0.0008434910560026765, 0.08119014650583267, 0.0, 0.0, 0.033408861607313156, 0.0, 0.0, 0.0, 0.0, 0.028248680755496025, 0.0, 0.04492003470659256, 0.0, 0.0, 0.011726180091500282, 0.012371201999485493, 0.11175429821014404, 0.0, 0.0, 0.11517787724733353, 0.14162380993366241, 0.0, 0.0, 0.0, 0.02186461165547371, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17574384808540344]"
Bayside (NSW),"[0.0029797411989420652, 0.0, 0.004127112682908773, 0.003590530948713422, 0.0, 0.0, 0.006673021707683802, 0.003310823580250144, 0.019088611006736755, 0.01150225754827261, 0.041573669761419296, 0.0, 0.0, 0.014516248367726803, 0.003915905021131039, 0.0, 0.09667033702135086, 0.002180576790124178, 0.021605977788567543, 0.1167750284075737, 0.0, 0.0008790807332843542, 0.0016382868634536862, 0.007843227125704288, 0.003373614978045225, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05188288912177086, 0.0055199419148266315, 0.18871694803237915, 0.004395403433591127, 0.0, 0.0, 0.10848084837198257, 0.030910532921552658, 0.0020036189816892147, 0.0, 0.13589218258857727, 0.029055330902338028, 0.08089826256036758, 0.0]"
Bayside (Vic.),"[0.007070348132401705, 0.0, 0.004483153577893972, 0.01511829998344183, 0.0, 0.0, 0.007336967159062624, 0.004285657778382301, 0.017073508352041245, 0.04399218037724495, 0.022870007902383804, 0.0, 0.0, 0.014239443466067314, 0.005855748895555735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2905261218547821, 0.0945313423871994, 0.3705908954143524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009983410127460957, 0.0836789533495903, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002992060733959079, 0.0, 0.0053718844428658485, 0.0, 0.0, 0.0]"
