lga,vector
Central Highlands (Qld),"[0.0, 0.13300740718841553, 0.009957581758499146, 0.0, 0.0, 0.06693507730960846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28984829783439636, 0.0, 0.04216694086790085, 0.0, 0.0, 0.17966784536838531, 0.0, 0.0, 0.003127471311017871, 0.0, 0.0, 0.0, 0.0, 0.009993528947234154, 0.07509525865316391, 0.039938170462846756, 0.0, 0.0, 0.0, 0.0, 0.006902005989104509, 0.006830110214650631, 0.056941550225019455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06776188313961029, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011826874688267708]"
Central Highlands (Tas.),"[0.0, 0.6432989835739136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002749140840023756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0498281791806221, 0.19003435969352722, 0.0, 0.0, 0.0, 0.11408934742212296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cessnock,"[0.005803578533232212, 0.09695389866828918, 0.0, 0.0, 0.0, 0.005384603515267372, 0.010660584084689617, 0.0, 0.02416088618338108, 0.0, 0.0, 0.004841487854719162, 0.06858774274587631, 0.03677668794989586, 0.0, 0.18599382042884827, 0.0, 0.0, 0.041478514671325684, 0.0, 0.006486352067440748, 0.0011948543833568692, 0.0, 0.0, 0.004888040479272604, 0.012429588474333286, 0.008938130922615528, 0.07735518366098404, 0.0, 0.010458854958415031, 0.3262573182582855, 0.0, 0.0056328848004341125, 0.0, 0.024626413360238075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.041090577840805054, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Chapman Valley,"[0.16017316281795502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16979317367076874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35930734872817993, 0.0, 0.3107263147830963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Charles Sturt,"[0.044356126338243484, 0.0, 0.019593892619013786, 0.0020607933402061462, 0.002845857525244355, 0.0, 0.038558099418878555, 0.006116958335042, 0.045991674065589905, 0.18657539784908295, 0.17566628754138947, 0.0, 0.0022570593282580376, 0.016527235507965088, 0.0, 0.0, 0.15958882868289948, 0.004227897617965937, 0.014899863861501217, 0.0, 0.02055886760354042, 0.00033528782660141587, 0.008226818405091763, 0.014311064966022968, 0.032302118837833405, 0.0, 0.0026659469585865736, 0.0023470146115869284, 0.0, 0.06412992626428604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008136862888932228, 0.0, 0.018538963049650192, 0.01287178136408329, 0.0, 0.005814381409436464, 0.003639099420979619, 0.02526925317943096, 0.0, 0.023388369008898735, 0.0, 0.0, 0.03819827735424042]"
Charters Towers,"[0.0, 0.29371875524520874, 0.07917267084121704, 0.0, 0.05170806124806404, 0.1421547830104828, 0.027125541120767593, 0.0, 0.0, 0.016105789691209793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.26150715351104736, 0.0, 0.03687378019094467, 0.057980842888355255, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03365262225270271, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cherbourg,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Chittering,"[0.0, 0.14059606194496155, 0.0, 0.0, 0.0791378989815712, 0.0, 0.0, 0.08806196600198746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10860414057970047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09496548026800156, 0.0, 0.18605825304985046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.050345174968242645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25223100185394287]"
Circular Head,"[0.0, 0.14258232712745667, 0.03451397642493248, 0.0, 0.0873599648475647, 0.04277469590306282, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05431707575917244, 0.0, 0.0, 0.0, 0.6045038104057312, 0.0, 0.03394817188382149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Clare and Gilbert Valleys,"[0.06455375999212265, 0.13610732555389404, 0.038596149533987045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05949834734201431, 0.36729535460472107, 0.0, 0.08944196254014969, 0.0, 0.0, 0.0, 0.21232743561267853, 0.032179661095142365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Claremont,"[0.0, 0.0, 0.0, 0.12181326746940613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22952894866466522, 0.2205807864665985, 0.06905284523963928, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3228093981742859, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03621475771069527, 0.0, 0.0, 0.0, 0.0, 0.0]"
Clarence,"[0.13001050055027008, 0.003635188564658165, 0.0716051384806633, 0.0, 0.012101138941943645, 0.0, 0.034348491579294205, 0.04607803374528885, 0.03291057422757149, 0.08060424774885178, 0.00928992684930563, 0.0, 0.1393004208803177, 0.0, 0.01496082078665495, 0.09987882524728775, 0.0, 0.0, 0.025155505165457726, 0.0, 0.008821391500532627, 0.0034413118846714497, 0.0, 0.0, 0.0, 0.01782050170004368, 0.007124969735741615, 0.05813070386648178, 0.0, 0.009031424298882484, 0.045060183852910995, 0.0, 0.0, 0.0, 0.0, 0.02480006404221058, 0.0, 0.004943856503814459, 0.0, 0.0, 0.06305840611457825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05788835883140564]"
Clarence Valley,"[0.11300405859947205, 0.17732971906661987, 0.12218037992715836, 0.007494607474654913, 0.04747194051742554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025042956694960594, 0.03343326225876808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008042993023991585, 0.0, 0.0, 0.003418272128328681, 0.004533323459327221, 0.0, 0.0, 0.0, 0.0, 0.09894710034132004, 0.003948378376662731, 0.00833546556532383, 0.2619456648826599, 0.006836544256657362, 0.003984937444329262, 0.0, 0.0, 0.03851497173309326, 0.0, 0.0, 0.0, 0.008810733444988728, 0.0, 0.04926333576440811, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cleve,"[0.10999497771263123, 0.0, 0.0, 0.0, 0.0, 0.10145655274391174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6514314413070679, 0.0, 0.13711702823638916, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cloncurry,"[0.0, 0.27157777547836304, 0.0, 0.0, 0.0, 0.3070368468761444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0854865312576294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33589884638786316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cobar,"[0.0, 0.08251561224460602, 0.0, 0.0, 0.0, 0.15722569823265076, 0.028768956661224365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4027653932571411, 0.0, 0.07091882079839706, 0.0, 0.0, 0.1665923297405243, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09121320396661758, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cockburn,"[0.0028615675400942564, 0.0, 0.006446943152695894, 0.0, 0.013962766155600548, 0.004149273037910461, 0.08847293257713318, 0.05808981880545616, 0.008879275061190128, 0.04131598398089409, 0.09107359498739243, 0.0, 0.0, 0.04509493708610535, 0.05913345143198967, 0.0, 0.015864865854382515, 0.020182466134428978, 0.011109614744782448, 0.06595071405172348, 0.0, 0.0016580258961766958, 0.0, 0.021705830469727516, 0.03627457469701767, 0.149331733584404, 0.03521411120891571, 0.003652706742286682, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004048276226967573, 0.0, 0.017985792830586433, 0.006026124581694603, 0.036678560078144073, 0.0, 0.0, 0.0, 0.0, 0.036022085696458817, 0.02106618694961071, 0.0, 0.0, 0.09774778038263321]"
Coffs Harbour,"[0.09147094935178757, 0.02839232049882412, 0.07410257309675217, 0.0, 0.020811785012483597, 0.0, 0.014984485693275928, 0.0, 0.007567922119051218, 0.014959258958697319, 0.0, 0.013054665178060532, 0.037852223962545395, 0.0, 0.0, 0.027168840169906616, 0.0, 0.010481571778655052, 0.0743674486875534, 0.0, 0.029401376843452454, 0.00286319712176919, 0.008816629648208618, 0.0, 0.004338942002505064, 0.00162710330914706, 0.0, 0.11870285868644714, 0.0, 0.003090234939008951, 0.15343962609767914, 0.004326328635215759, 0.003872253466397524, 0.0, 0.0, 0.23225952684879303, 0.004452460911124945, 0.015034938231110573, 0.0, 0.0, 0.0, 0.0, 0.0025604802649468184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Colac Otway,"[0.027840984985232353, 0.08954624831676483, 0.024985499680042267, 0.02587783895432949, 0.0, 0.0, 0.0, 0.0, 0.017936019226908684, 0.0, 0.0, 0.0, 0.037701334804296494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01775755174458027, 0.10770534723997116, 0.0, 0.0, 0.280149906873703, 0.2702449560165405, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10025431960821152, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Collie,"[0.053127482533454895, 0.09671926498413086, 0.031672153621912, 0.0, 0.0, 0.02747190371155739, 0.0, 0.0, 0.0, 0.06175502389669418, 0.0, 0.10443864017724991, 0.15586331486701965, 0.0, 0.03836984932422638, 0.034169599413871765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06981496512889862, 0.0, 0.0, 0.21625609695911407, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11034169793128967, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Coober Pedy,"[0.0, 0.20561940968036652, 0.6149425506591797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02234993688762188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15708811581134796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cook,"[0.0, 0.044540539383888245, 0.2261621654033661, 0.0, 0.0, 0.03956756740808487, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0023783782962709665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10637837648391724, 0.0, 0.0, 0.012540540657937527, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21189188957214355, 0.0, 0.3565405309200287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Coolamon,"[0.05321810394525528, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06095064803957939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04457584768533707, 0.0, 0.636115550994873, 0.0, 0.2051398754119873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Coolgardie,"[0.05662909150123596, 0.0, 0.06816961616277695, 0.0, 0.0, 0.11003757268190384, 0.06843800097703934, 0.0, 0.0, 0.08158883452415466, 0.0, 0.0, 0.0, 0.4688674211502075, 0.10118088871240616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02442297339439392, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020665593445301056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Coomalie ,"[0.0, 0.0940740704536438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4511111080646515, 0.0, 0.0, 0.0, 0.0, 0.4548148214817047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Coonamble,"[0.0, 0.0390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31699809432029724, 0.0, 0.0, 0.0, 0.0, 0.6439393758773804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Coorong,"[0.07136338949203491, 0.0, 0.18233254551887512, 0.0, 0.0, 0.05092170089483261, 0.0, 0.0, 0.0, 0.046723853796720505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22047819197177887, 0.0, 0.10713633894920349, 0.20861470699310303, 0.09271764755249023, 0.019711626693606377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Coorow,"[0.0, 0.0, 0.3305084705352783, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6694915294647217, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cootamundra-Gundagai Regional,"[0.09028081595897675, 0.15090543031692505, 0.24494795501232147, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18581052124500275, 0.0, 0.28081533312797546, 0.0, 0.047239962965250015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Copper Coast,"[0.11699850857257843, 0.050522081553936005, 0.1555224061012268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008431156165897846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005123548675328493, 0.0, 0.0, 0.003307607490569353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03709708899259567, 0.37901291251182556, 0.0, 0.15305791795253754, 0.0, 0.019586224108934402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07892859727144241]"
Corangamite,"[0.08208955079317093, 0.12481945008039474, 0.02696196362376213, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03322099149227142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012578237801790237, 0.09683437645435333, 0.0, 0.11410688608884811, 0.5093885660171509, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Corrigin,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cottesloe ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027325144037604332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05414890870451927, 0.04374529793858528, 0.04512409120798111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8296565413475037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cowra,"[0.046080902218818665, 0.20417839288711548, 0.02881908416748047, 0.0, 0.016446880996227264, 0.0, 0.0, 0.0, 0.01740998588502407, 0.0, 0.0, 0.00140761595685035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026744702830910683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1370573490858078, 0.26515039801597595, 0.0, 0.16869166493415833, 0.03541265428066254, 0.0, 0.0, 0.0, 0.05260038375854492, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cranbrook,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7440174221992493, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2559826076030731, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Croydon,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cuballing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cue,"[0.0, 0.0, 0.6308411359786987, 0.0, 0.0, 0.36915886402130127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cumberland,"[0.003937458619475365, 0.0, 0.0, 0.0012503231409937143, 0.0, 0.0, 0.0050140079110860825, 0.002822763519361615, 0.03820055350661278, 0.001576678710989654, 0.002025947440415621, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009493979159742594, 0.04923306405544281, 0.030664706602692604, 0.008031737059354782, 0.0, 0.0008731070556677878, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001606347388587892, 0.0, 0.0, 0.0, 0.10286132991313934, 0.003064351389184594, 0.04725373908877373, 0.0, 0.0, 0.0, 0.3083805441856384, 0.121980682015419, 0.0019284645095467567, 0.009917818009853363, 0.056209444999694824, 0.09546959400177002, 0.10420066118240356, 0.002547268522903323]"
Cunderdin,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Dalwallinu,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Dandaragan,"[0.17605005204677582, 0.0, 0.2508191764354706, 0.0, 0.0, 0.08608876913785934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22698837518692017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2600536048412323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Dardanup,"[0.0, 0.11566024273633957, 0.045441918075084686, 0.0, 0.0, 0.0, 0.07994000613689423, 0.0, 0.0, 0.0, 0.0, 0.0008888394804671407, 0.03360924497246742, 0.0, 0.15115827322006226, 0.020665518939495087, 0.0, 0.0, 0.005944114178419113, 0.0, 0.06421865522861481, 0.0, 0.0, 0.0, 0.03744236379861832, 0.11304927617311478, 0.039386700838804245, 0.04516415670514107, 0.021665463224053383, 0.0, 0.0, 0.04499749839305878, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.057996779680252075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12277095764875412]"
Darebin,"[0.0, 0.0, 0.002166949212551117, 0.03608441725373268, 0.0, 0.0, 0.002678403165191412, 0.005437562242150307, 0.0228068046271801, 0.047316212207078934, 0.1485571563243866, 0.0, 0.0, 0.024785323068499565, 0.0028399149887263775, 0.0, 0.3354397118091583, 0.01881611905992031, 0.04081536456942558, 0.0, 0.0, 0.0002691862464416772, 0.006420092191547155, 0.07106517255306244, 0.022571267560124397, 0.0008815849432721734, 0.0, 0.0, 0.0, 0.009939702227711678, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05413335561752319, 0.011554819531738758, 0.005982664413750172, 0.036918893456459045, 0.0, 0.0, 0.014421653002500534, 0.0027322403620928526, 0.04885730519890785, 0.0, 0.020276455208659172, 0.001884303754195571, 0.004347357898950577, 0.0]"
Darwin,"[0.0, 0.005780275445431471, 0.0, 0.003465689718723297, 0.0, 0.0, 0.0920511931180954, 0.0, 0.03528814762830734, 0.013565699569880962, 0.16041192412376404, 0.0, 0.0, 0.05198534578084946, 0.003317160066217184, 0.0, 0.0, 0.019036538898944855, 0.09016981720924377, 0.18964749574661255, 0.0, 0.007760669570416212, 0.0, 0.06885582953691483, 0.005334686487913132, 0.0, 0.0, 0.0, 0.009889593347907066, 0.0, 0.0, 0.0, 0.0, 0.01096643228083849, 0.0, 0.004567283671349287, 0.0, 0.033171601593494415, 0.10254728049039841, 0.0, 0.0, 0.0, 0.004257847089320421, 0.015595603734254837, 0.0, 0.007550252601504326, 0.04241756722331047, 0.0, 0.006857114378362894, 0.01550896093249321]"
